"opendata_name","better_name"
"199__SYDEC40","SYDEC40"
"2_AM0001_SMOYS","SMOYS"
"202__TE64","Territoire d'énergie Pyrénées-Atlantiques"
"203__SEHV","Syndicat, Énergies Haute-Vienne"
"3_AM0002_Vauclus'elec","Vauclus'elec"
"375__SYDED","Syndicat mixte d'Électricité du Doubs"
"373__SYDESL","Syndicat Départemental d'Energie de Saône et Loire"
"376__TDE90","Territoire d'Énergie 90"
"406__eborn","eborn"
"49__VILLE DE NANCY","Ville de Nancy"
"6EME AVENUE - BMW","BMW"
"ACCOR HOTELS","Accor Hotels"
"ACCOR Hotels","Accor Hotels"
"ACCOR Hotels","Accor Hotels"
"ALTERBASE86","AlterBase"
"ALTERBASE87","AlterBase"
"ALTERBASE88","AlterBase"
"Amplitudebmw37170*3","BMW"
"ARCACHON","Arcachon"
"Avia Picoty","Avia"
"Avia Picoty | FR*PY2","Avia"
"Avis Location Voiture","Avis"
"AXXIA, concessionnaire BMW","BMW"
"BE CABLE","Be Cablé"
"BECABLE","Be Cablé"
"BEST WESTERN","Best Western"
"BMW","BMW"
"BMW - BMS Evreux","BMW"
"BMW - BMS LE HAVRE","BMW"
"BMW - BMS Mantes","BMW"
"BMW - MINI Normandy Avenue Saint-Arnoult","BMW & MINI"
"BMW / MINI Savy Beaune","BMW & MINI"
"BMW / MINI Savy Pontarlier","BMW & MINI"
"BMW & MINI BAYERN AUTO SPORT","BMW & MINI"
"BMW 6ème Avenue Bourgoin","BMW"
"BMW Amplitude Automobiles Blois","BMW"
"BMW Amplitude Automobiles Tours","BMW"
"BMW Amplitude Motos Tours","BMW"
"BMW BAYERN AUTO SPORT","BMW"
"BMW BAYERN AVENUE","BMW"
"BMW Beaurains","BMW"
"BMW CAEN - Normandy Avenue","BMW"
"BMW Car Premium Douai - Groupe Lempereur","BMW"
"BMW Charrier Cholet-Automobiles","BMW"
"Bmw Cholet","BMW"
"BMW Colmar","BMW"
"BMW Dupont Montargis","BMW"
"BMW Dupont Orléans","BMW"
"BMW DYNAMISM Automobiles ANGERS","BMW"
"BMW DYNAMISM Automobiles SAUMUR","BMW"
"BMW FOURNIER SA BALLAINVILLIERS","BMW"
"BMW FOURNIER SA VILLEBON SUR YVETTE","BMW"
"BMW GUÉRANDE - Cap Ouest","BMW"
"Bmw Lattes","BMW"
"BMW LORIENT","BMW"
"BMW MINI Indigo Juvisy","BMW & MINI"
"BMW MINI Indigo Lisses","BMW & MINI"
