total_number,total_number_motorcar,total_number_bicycle,total_with_open_data_ref,total_with_fixme,percentage_free,total_number_of_parking_spaces,datetime
4524,5,50,0,179,5.393457117595049,5268,2020-01-26 19:58:20
4526,10,50,0,179,5.435262925320371,5309,2020-01-31 19:27:54
4530,10,50,0,179,5.452538631346578,5322,2020-02-02 19:28:09
4534,10,50,0,179,5.447728275253639,5332,2020-02-04 19:28:45
4538,10,52,0,179,5.442926399294843,5344,2020-02-06 19:29:12
3892,10,52,0,179,6.3463514902363825,5340,2020-02-08 19:29:57
3894,10,52,0,179,6.343091936312275,5342,2020-02-10 19:29:55
3904,10,52,0,181,6.480532786885246,5352,2020-02-12 19:31:02
3905,32,52,17,181,6.504481434058899,5364,2020-02-14 19:32:21
3905,38,52,23,181,6.504481434058899,6904,2020-02-15 15:32:41
